1	79	1	Portas da varanda não trancam	06/01/2019, 16:13:54	06/01/2019, 16:13:54		0,00	6,80	20	Fechado	4
2	27	2	Montar e retirar router WIFI	06/01/2019, 16:13:54	06/01/2019, 16:13:54		0,00	6,68	20	Fechado	6
3	29	3	Montar e retirar router WIFI	06/02/2019, 16:13:54	06/02/2019, 16:13:54		0,00	6,68	20	Fechado	5
4	68	2	Ligar pavimento radiante	06/02/2019, 16:13:54	06/02/2019, 16:13:54		0,00	5,01	15	Fechado	5
5	77	2	Lâmpadas de emergência fundidas	06/02/2019, 16:13:54	06/02/2019, 16:13:54	Lampada	9,00	6,68	20	Fechado	4
6	58	1	Reparação de 2 projetores da piscina interior	06/02/2019, 16:13:54	06/02/2019, 16:13:54	Torneira	52,00	20,04	60	Fechado	4
7	16	1	Ligar pavimento radiante	06/02/2019, 16:13:54	06/02/2019, 16:13:54		0,00	5,01	15	Fechado	6
8	78	3	Lampadas fundidas	06/02/2019, 16:13:54	06/02/2019, 16:13:54	Resistencia	12,00	5,01	15	Fechado	5
9	78	2	Ligar pavimento radiante	06/02/2019, 16:13:54	06/02/2019, 16:13:54		0,00	5,01	15	Fechado	6
10	42	3	Substituir termoacumulador	06/02/2019, 16:13:54	06/02/2019, 16:13:54	Termoacumulador	160,00	40,08	120	Fechado	6
11	56	1	Reparar termoacumulador	06/02/2019, 16:13:54	06/02/2019, 16:13:54	Resistencia	95,00	20,04	60	Fechado	4
12	12	2	Candeeiro avariado	06/02/2019, 16:13:54	06/02/2019, 16:13:54	Interruptor	2,50	5,01	15	Fechado	6
13	60	1	A/C avariado	06/02/2019, 16:13:54	06/02/2019, 16:13:54		0,00	5,01	15	Fechado	4
14	23	3	Montar e retirar router WIFI	06/02/2019, 16:13:54	06/02/2019, 16:13:54		0,00	6,68	20	Fechado	5
15	23	3	Montar e retirar router WIFI	06/02/2019, 16:13:54	06/02/2019, 16:13:54		0,00	6,68	20	Fechado	4
16	68	3	Ligar pavimento radiante	06/02/2019, 16:13:54	06/02/2019, 16:13:54		0,00	5,01	15	Fechado	6
17	56	1	Verificar infiltraçao da banheira	06/02/2019, 16:13:54	06/02/2019, 16:13:54		0,00	100,20	300	Fechado	5
18	6	2	Lampadas fundidas	06/02/2019, 16:13:54	06/02/2019, 16:13:54	Lampada	4,00	5,01	15	Fechado	5
19	19	3	Montar e retirar router WIFI	06/02/2019, 16:13:54	06/02/2019, 16:13:54		0,00	6,68	20	Fechado	4
20	22	2	A/C avariado	06/02/2019, 16:13:54	06/02/2019, 16:13:54		0,00	5,01	15	Fechado	4
21	30	2	 Blc F3, lâmpadas de emergência fundidas	06/02/2019, 16:13:54	06/02/2019, 16:13:54	Lampada	6,00	5,01	15	Fechado	6
22	16	1	Montar e retirar router WIFI	06/02/2019, 16:13:54	06/02/2019, 16:13:54		0,00	5,01	15	Fechado	5
23	21	1	Portas da varanda não trancam	06/02/2019, 16:13:54	06/02/2019, 16:13:54		0,00	5,01	15	Fechado	6
24	22	3	Lampadas fundidas	06/02/2019, 16:13:54	06/02/2019, 16:13:54	Lampada	4,00	5,01	15	Fechado	6
25	38	2	Substituir termoacumulador	06/02/2019, 16:13:54	06/02/2019, 16:13:54		0,00	40,08	120	Fechado	4
26	78	3	Montar e retirar router WIFI	06/02/2019, 16:13:54	06/02/2019, 16:13:54		0,00	6,68	20	Fechado	6
27	14	1	Lampadas fundidas	06/02/2019, 16:13:54	06/02/2019, 16:13:54	Lampada	4,00	5,01	15	Fechado	4
28	60	2	A/C avariado	06/02/2019, 16:13:54	06/02/2019, 16:13:54		0,00	5,01	15	Fechado	5
