211	126	168	225	126	168	180	225	130	122	60	98
392	456	555	896	456	555	524	896	569	486	388	117
176	375	459	829	375	459	768	829	690	694	129	158
215	275	441	785	275	441	464	785	394	432	87	104
175	283	250	471	283	250	298	471	393	380	114	87
220	228	285	577	228	285	422	577	349	290	168	157
302	574	843	1518	574	843	1336	1518	1037	431	111	145
144	79	129	223	79	129	203	223	131	138	57	95
678	461	702	650	461	702	584	650	596	378	95	374
267	192	382	498	192	382	411	498	361	303	176	115
300	242	333	470	242	333	492	470	354	386	85	124
526	311	739	1015	311	739	1040	1015	453	541	88	177
133	236	325	1286	236	325	921	1286	498	463	124	237
337	403	356	713	403	356	544	713	427	553	282	341
339	498	318	544	498	318	666	544	334	363	166	471
614	467	533	661	467	533	809	661	538	446	192	283
52	174	291	780	174	291	791	780	580	60	29	46
575	386	685	767	386	685	586	767	418	322	96	123
226	313	446	501	313	446	435	501	324	520	249	112
480	547	657	932	547	657	787	932	718	669	276	336
126	374	181	697	374	181	658	697	414	403	173	254
477	274	653	863	274	653	966	863	804	533	172	152
68	112	72	675	112	72	648	675	129	174	38	59
372	438	467	634	438	467	482	634	453	471	129	102
250	419	324	368	419	324	376	368	398	349	187	218
670	190	550	812	190	550	954	812	595	510	332	505
179	382	311	732	382	311	602	732	505	391	155	184
363	414	698	605	414	698	542	605	365	502	169	148
796	207	541	789	207	541	677	789	621	655	96	132
198	249	372	580	249	372	662	580	507	320	91	218
356	223	561	649	223	561	471	649	460	438	264	825
254	392	407	685	392	407	625	685	496	558	286	113
117	537	492	977	537	492	690	977	641	560	163	169
382	440	430	714	440	430	403	714	370	465	183	157
487	328	604	599	328	604	552	599	442	322	62	102
687	433	499	1074	433	499	838	1074	509	541	350	806
415	466	524	858	466	524	499	858	399	458	72	200
104	345	526	636	345	526	629	636	324	461	212	107
0	297	600	943	297	600	642	943	713	87	19	30
172	360	326	858	360	326	917	858	432	441	79	138
318	48	184	243	48	184	121	243	180	116	76	34
458	302	546	561	302	546	384	561	541	376	279	175
271	431	574	733	431	574	486	733	533	818	212	847
318	325	501	659	325	501	999	659	378	652	94	97
222	554	482	853	554	482	719	853	511	473	200	1246
343	457	488	1083	457	488	876	1083	1082	609	177	121
65	214	717	1030	214	717	1605	1030	344	579	227	51
319	760	677	811	760	677	947	811	574	485	100	75
815	308	249	237	308	249	198	237	208	63	31	52
1348	371	358	1186	371	358	582	1186	528	417	246	122
55	179	62	75	179	62	155	75	309	241	76	53
1211	308	448	946	308	448	646	946	901	569	121	54
109	305	407	437	305	407	606	437	260	100	57	96
287	468	567	794	468	567	673	794	469	384	124	98
777	444	696	1804	444	696	988	1804	596	693	254	99
859	416	661	702	416	661	781	702	723	471	126	207
418	552	552	828	552	552	549	828	512	489	178	141
818	177	593	1256	177	593	1323	1256	281	287	754	530
604	267	508	819	267	508	730	819	403	498	88	256
326	590	365	661	590	365	933	661	510	474	166	119
230	336	469	580	336	469	586	580	376	326	108	439
50	52	504	798	52	504	579	798	360	131	105	42
878	563	777	575	563	777	640	575	547	510	370	110
327	288	266	549	288	266	457	549	542	329	74	128
566	278	770	1166	278	770	1207	1166	838	648	149	335
147	667	701	1003	667	701	910	1003	494	461	91	400
645	244	238	469	244	238	487	469	408	485	161	176
361	376	547	567	376	547	651	567	432	543	235	220
64	68	74	237	68	74	196	237	152	185	32	55
255	595	167	872	595	167	733	872	699	494	60	252
61	60	146	410	60	146	774	410	459	102	47	56
563	375	753	823	375	753	1216	823	659	582	114	779
57	65	110	461	65	110	290	461	70	63	29	47
280	404	521	1104	404	521	668	1104	603	526	123	151
150	148	143	559	148	143	161	559	221	213	97	157
531	533	601	1382	533	601	385	1382	547	400	140	812
820	250	803	883	250	803	732	883	388	184	51	45
668	378	465	643	378	465	639	643	510	702	256	179
253	416	598	755	416	598	1070	755	461	414	410	434
361	376	547	567	376	547	651	567	432	543	235	220
